,I2HospitalRate_range,E2Irate_range,I2Rrate_range,delay_from_hospital_to_I_range,Beta_coeff_summer_range,winter_coeff_range,Beta_coeff_manual_setting_range,indFirstValidRow_range,indFirstAvailData_range,indLastAvailData_range,indLastValidRow_range,lower___for_sample_weights_range,upper___for_sample_weights_range,N0_range,S0_range,x0_range,n0_range,epsil_range
41,0.03,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
42,0.03,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
43,0.03,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
44,0.03,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
45,0.03,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
46,0.03,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
47,0.03,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
48,0.03,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
49,0.03,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
50,0.03,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
51,0.03,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
52,0.03,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
53,0.03,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
54,0.07,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
55,0.07,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
